Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 ,1959 ,1958 ,1957 
  40 - 44 Years,310173,299871,292770,299291,300763,303640,311484,313445,316755,316023,312581,308823,306614,309441,312983,317363,321049,323017,321472,321057,318282,320863,317996,312420,305241,296755,286259,273686,260994,250783,240317,231002,224210,206063,179267,162500,144305,126838,126919,133379,134040,133404,129785,124089,125200,117100,114700,113200,110200,107600,107400,106300,104800,97975,96900,91900,87700,85000,84400,82700,83000,82400,83100,80500,79100,77500,76217
  45 - 49 Years,302515,304317,300125,311740,311682,307838,303457,301183,303413,308533,316336,320925,323991,323459,322497,318078,315552,312858,307546,300671,292791,286738,274569,262201,252282,241863,232426,225769,208085,183764,166332,147384,129004,128439,133292,133377,132431,128081,121343,116130,109166,106924,105940,102962,104300,103800,102400,100500,97000,92400,88700,85100,83400,79565,80800,80300,79800,80200,77200,77100,75900,75500,74300,74400,72400,69300,66716
  50 - 54 Years,302367,292984,285962,296068,301682,308965,312814,315598,315091,315503,312988,310376,308130,303044,297383,289189,279220,266994,254168,244110,233180,230367,223842,206657,182738,165341,146576,128497,128066,133810,133399,131902,126490,118092,112410,106280,104197,104026,101945,98518,97296,95678,93659,90174,88700,84500,81100,78300,76900,75800,75200,73500,72700,69675,73400,73000,71800,70600,70700,68500,67100,65700,62600,59600,57300,54200,51794
  55 - 59 Years,300668,299835,298226,305830,306759,304390,301678,299591,295063,288392,281069,271817,260678,248696,239947,229356,220983,214601,197803,174788,157894,143175,125449,125061,130631,130334,129003,123752,115530,110127,103679,101228,101397,100102,95644,93736,92179,90347,87264,83007,78475,74667,71367,69447,70500,69600,68200,67700,66000,64700,63900,63400,64900,64035,63800,61400,60100,56600,54900,53700,51000,49600,45900,44700,42900,40400,37456
  60 - 64 Years,293788,288007,282612,284626,278828,271688,262651,251853,240493,231502,222154,213996,208160,191995,169696,153161,135501,118242,117575,122736,121724,123438,118506,110503,105370,99178,96766,96790,95326,91308,89063,87393,85729,83021,78730,74487,70741,67456,65302,64118,62662,61175,60091,58449,58300,57400,57100,57400,57500,57200,56100,54200,51800,47962,47400,45400,43800,41100,39700,38200,35600,33800,32200,28700,27300,25900,24276
  65 - 69 Years,259041,247930,235391,229396,221296,212101,203969,198020,182425,161198,145817,128879,112396,111511,116258,115185,113757,108837,101088,96007,89883,89587,89676,88305,84391,82118,80324,78589,76091,72439,68521,65005,61988,59896,58298,56802,55177,53838,52297,50731,49603,48856,48441,48422,48900,47900,46300,44100,41400,40100,37600,36500,34400,32895,31800,30100,27900,25600,24000,22300,21600,20300,19000,18400,17800,17100,15399
  70 - 74 Years,197890,188584,181326,170008,150127,135546,119494,103796,102631,106815,105746,104414,100073,92618,87428,81307,78631,78317,76545,72485,70002,70642,69048,66948,63592,59856,56176,52958,50597,49283,47987,46787,45868,45047,43498,42566,41727,40957,40671,39820,38665,37097,35064,32753,na,na,na,na,na,na,na,na,na,18484,na,na,na,na,na,na,na,na,na,na,na,na,8774
  75 - 79 Years,121003,105792,90978,90990,94600,93327,91953,87955,81211,76294,70619,67675,66909,65178,61490,59001,56732,54413,51601,47875,42863,45830,42501,39644,37951,36422,35441,34657,34178,33406,32968,32802,32475,32336,na,na,na,na,na,na,na,na,na,18320,na,na,na,na,na,na,na,na,na,10006,na,na,na,na,na,na,na,na,na,na,na,na,4225
  80 - 84 Years,76165,74937,71555,66513,62293,57103,54341,53556,51785,48418,46199,44115,42145,39839,37143,33882,31519,29443,27879,26864,25783,25213,23897,22876,22345,22095,21859,21751,21689,21460,20950,20031,18856,17526,na,na,na,na,na,na,na,na,na,7905,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1786
  85 - 89 Years,40016,37948,37668,36586,33935,31991,30481,29086,27494,25486,23235,21503,19756,18481,17569,16734,15923,15206,14514,13778,13217,13047,12500,12092,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,717843,678133,639008,614368,581680,547854,516692,487570,459715,431601,404437,378636,352645,338387,330132,315790,305586,294726,279693,264541,248638,251024,243639,235296,225461,217222,209736,202912,196671,189695,182678,175856,169526,164450,158053,152688,146731,140848,135652,130222,125428,120647,116079,111933,109800,105900,101100,96800,91500,88700,83300,78900,73700,68145,60500,57700,54600,51400,47900,45700,43800,41400,38800,37500,35700,33700,31061
  70 Years & Over,458802,430203,403617,384972,360384,335753,312723,289550,277290,270403,258620,249757,240249,226876,213874,200605,191829,185889,178605,168534,158755,161437,153963,146991,141070,135104,129412,124323,120580,117256,114157,110851,107538,104554,99755,95886,91554,87010,83355,79491,75825,71791,67638,63511,60900,58000,54800,52700,50100,48600,45700,42400,39300,35250,28700,27600,26700,25800,23900,23400,22200,21100,19800,19100,17900,16600,15662
  75 Years & Over,260912,241619,222291,214964,210257,200207,193229,185754,174659,163588,152874,145343,140176,134258,126446,119298,113198,107572,102060,96049,88753,90795,84915,80043,77478,75248,73236,71365,69983,67973,66170,64064,61670,59507,56257,53320,49827,46053,42684,39671,37160,34694,32574,30758,na,na,na,na,na,na,na,na,na,16766,na,na,na,na,na,na,na,na,na,na,na,na,6888
  80 Years & Over,139909,135827,131313,123974,115657,106880,101276,97799,93448,87294,82255,77668,73267,69080,64956,60297,56466,53159,50459,48174,45890,44965,42414,40399,39527,38826,37795,36708,35805,34567,33202,31262,29195,27171,na,na,na,na,na,na,na,na,na,12438,na,na,na,na,na,na,na,na,na,6760,na,na,na,na,na,na,na,na,na,na,na,na,2663
  85 Years & Over,63744,60890,59758,57461,53364,49777,46935,44243,41663,38876,36056,33553,31122,29241,27813,26415,24947,23716,22580,21310,20107,19752,18517,17523,17182,16731,15936,14957,14116,13107,12252,11231,10339,9645,na,na,na,na,na,na,na,na,na,4533,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,877
  90 Years & Over,23728,22942,22090,20875,19429,17786,16454,15157,14169,13390,12821,12050,11366,10760,10244,9681,9024,8510,8066,7532,6890,6705,6017,5431,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Male Residents,2021902,1990212,1953114,1977556,1969382,1955838,1943545,1929526,1916628,1902410,1891504,1880046,1868170,1861133,1844732,1802992,1775477,1748242,1721139,1695031,1673401,1684295,1658558,1634667,1614804,1591816,1565750,1540018,1514015,1489180,1464223,1439063,1414307,1386291,1341275,1316577,1294187,1276522,1258464,1239109,1220471,1200321,1179799,1159011,1216300,1201400,1187300,1171300,1156100,1139700,1121400,1101100,1081200,1030809,1046900,1034100,1017400,995800,973800,951500,929300,909500,886500,859600,830800,797600,762760
  0 - 4 Years,89629,90906,91043,93388,94666,94916,96041,95678,93852,92528,93520,94924,95885,98890,100699,99147,99091,99730,102678,105608,108553,112705,115533,116756,120308,123898,125835,126375,128032,127478,128483,126806,121913,116014,112238,106231,103875,105188,105542,103587,102968,99856,98283,96694,102800,105800,111300,114500,117900,117900,117400,116700,117200,118335,131000,137900,143900,146900,149100,152400,154200,156400,155200,152200,148000,142900,136712
  5 - 9 Years,103249,103270,101980,101729,101051,101636,102010,102426,103861,104588,104586,105033,106047,110215,113683,115186,118360,121432,122334,124236,127297,130717,130786,132200,132013,132788,130512,125239,119331,115808,108966,106294,107046,106723,105013,104725,102000,100998,99654,100235,102192,106943,109523,112015,116500,116200,115700,116800,120300,126600,133400,138000,141600,140633,149900,151700,152900,151700,148600,144800,140900,137000,132700,128400,123800,118100,112030
  10 - 14 Years,104335,103066,102112,104967,105661,105026,104885,105589,109401,112959,116000,119697,123438,125271,127531,130128,131405,131748,132959,132324,133412,132502,127455,121639,117936,110977,108056,108755,108670,107508,107299,104741,104034,102654,102036,103915,108517,110964,113493,114103,113364,112623,113583,116841,126400,133300,138300,142800,145900,149200,150100,151100,150600,145785,143500,140300,136000,131600,126800,123000,118900,114600,111800,103000,90700,81500,71219
  15 - 19 Years,106461,105521,104927,109868,113555,116102,119500,122911,124287,126514,129989,132106,132579,134003,133454,134000,131582,126649,120893,117071,110336,108100,108928,109002,107777,107626,105003,104381,103121,103187,105176,109940,112489,115214,114848,113944,112959,113735,116829,121754,128092,132511,136375,139250,151800,153000,153800,153100,150900,146300,142500,137500,131100,123436,122000,117400,113500,110000,102300,90200,81900,72900,65000,65300,68400,69600,70137
  20 - 24 Years,116897,119622,122309,124617,126764,129956,131825,132046,133493,132902,134034,132675,128245,123942,120949,113468,110602,111267,110609,108156,107408,108264,107436,106249,106432,108535,113576,116130,118792,119711,119113,118217,118824,121601,121970,127731,131715,135509,138585,141578,142748,143375,143056,139868,148500,144400,139200,132900,127500,123700,119100,115200,111900,98494,89400,81300,72200,64100,64300,67300,69400,71400,72800,71100,67700,63600,61254
  25 - 29 Years,138511,139727,138548,142382,142465,143758,142427,137243,132504,129304,124013,123056,127132,131299,132022,126755,121991,119976,118231,117737,119975,126255,126761,129285,130968,130263,129020,128973,131308,135450,140995,143986,146404,147751,145517,146510,147155,147643,145632,141934,137716,131952,124865,118027,125000,120700,116500,113700,105200,93000,84600,74800,66700,62779,66300,69100,70800,71100,69900,67000,63200,62500,61500,60200,60400,61000,59776
  30 - 34 Years,156440,153268,145681,143022,140208,133775,132378,135596,137847,138954,141262,140686,141947,143048,142676,139144,141491,141031,141464,139648,138293,139579,138964,141827,146312,151047,152953,154607,154906,155684,155608,155296,154828,152133,145218,141485,136494,130100,123902,118752,113519,109034,106012,97817,95100,86000,76800,67900,67900,70900,71700,71300,70400,65246,66200,62600,61000,60200,59100,59000,60000,60000,60200,57900,56100,52400,50148
  35 - 39 Years,141580,137395,137345,141357,142118,143661,142776,143553,143795,144959,147408,152252,154097,156318,155109,149911,147400,145884,147117,149879,154963,160129,161663,162037,162187,161001,159515,158467,155495,151809,147994,143278,137016,130423,122653,117067,112229,109188,100859,89216,80546,71493,62718,62317,71800,71700,71400,69800,67400,64200,60600,60300,59200,56208,57900,59100,58400,57900,55900,54300,51200,49900,47900,48000,47100,47200,46506
  40 - 44 Years,146677,142574,139814,142801,143869,145974,150641,152466,154460,154320,152691,151213,150678,152995,155764,158996,161229,162499,161997,161981,160889,161909,160573,157640,153861,149792,144845,138535,132331,127357,121914,117088,113672,104452,90501,81909,72822,63977,63731,66825,66856,66499,64854,62133,63300,59600,58400,57800,56500,55700,56200,55900,55400,52224,52200,49500,47800,46500,46100,45500,46000,45800,46200,44700,44300,43400,43041
  45 - 49 Years,145297,147359,146202,151690,151637,149811,148095,147517,149607,153194,158312,161122,163002,163237,162905,160849,159593,158246,155343,151609,147831,144727,138536,132445,127638,122140,117197,113906,105077,92899,84040,74612,65353,64792,66911,66690,66151,64183,61023,58376,55024,53943,53396,52117,53700,53800,53200,52800,51300,49400,47600,45700,44900,42788,43700,43600,43500,44000,42300,42600,42000,42000,41500,41900,40600,39300,37773
  50 - 54 Years,146760,142735,139908,145383,149121,153908,156386,158202,158465,158734,157789,156561,155424,152721,149604,145713,140806,134543,128179,123183,117357,115719,112423,103766,91772,82934,73673,64546,64130,66989,66585,65828,63409,59522,56392,53450,52432,52227,51296,49981,49618,48801,48052,46536,46500,44500,43100,41600,40900,40100,39700,38900,38800,36856,39700,39700,39300,38300,39100,37900,37100,36400,34300,33000,31700,30000,29253
  55 - 59 Years,148981,149046,148830,152960,153477,152528,151320,150315,147860,144316,140813,136379,130717,124822,120448,114878,110336,107015,98576,87099,78448,71321,62358,61934,64589,64250,63558,61248,57559,54818,51736,50580,50531,49910,47986,47252,46404,45641,44245,42367,40295,38512,36855,35806,36400,36100,35400,35000,34100,33600,32700,32600,33800,33373,34400,33300,32600,30500,29600,28800,27700,27100,25200,24600,24000,22400,20550
  60 - 64 Years,146083,143437,140889,141471,138324,134928,130589,125130,119660,115217,110241,105781,102799,94796,83709,75256,66682,57981,57287,59623,58848,59769,57690,54023,51499,48562,47409,47365,46606,45026,44040,43111,42376,41095,39166,37354,35604,34031,32948,32117,31373,30693,30071,29162,29100,28600,28400,28700,29100,29000,28300,27800,26500,24587,24600,23900,22700,21800,21400,20300,18900,17500,16800,14500,13700,13000,12015
  65 - 69 Years,126892,121815,115595,112609,108655,103758,99351,96349,88697,78285,70525,62372,54115,53321,55350,54560,53773,51720,48270,45775,42892,42764,42805,42153,40484,39556,38577,37736,36600,35045,33415,31793,30427,29391,28305,27410,26669,25901,25013,24228,23633,23215,23143,23377,23700,23300,22800,21800,20400,19700,18500,17900,16800,16237,16300,14900,13700,12300,11100,10500,10100,9100,8500,8300,8000,7700,6762
  70 - 74 Years,94849,90038,86337,80819,71234,64029,56463,48691,47779,49438,48663,47890,46135,42887,40357,37508,36184,35870,34907,33149,32055,32621,31911,31122,29691,28188,26522,24993,23848,22938,22123,21579,21013,20513,19759,19338,18909,18598,18597,18249,17814,17272,16386,15207,na,na,na,na,na,na,na,na,na,8110,na,na,na,na,na,na,na,na,na,na,na,na,3425
  75 - 79 Years,55166,48203,40996,40773,42201,41288,40524,38976,36126,33753,31164,29715,29123,28214,26745,25589,24370,23179,21812,20270,18112,20493,18975,17604,16561,15707,15296,14874,14624,14296,14091,13987,13879,13899,na,na,na,na,na,na,na,na,na,7750,na,na,na,na,na,na,na,na,na,3775,na,na,na,na,na,na,na,na,na,na,na,na,1415
  80 - 84 Years,31651,31019,29886,27886,26077,23779,22400,21884,20932,19515,18572,17496,16558,15532,14518,13200,12312,11601,11046,10562,10018,9929,9309,8872,8710,8614,8541,8561,8609,8565,8375,8075,7632,7028,na,na,na,na,na,na,na,na,na,2835,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,508
  85 - 89 Years,15180,14230,14003,13522,12484,11748,10989,10387,9728,8985,8122,7519,6889,6446,6082,5741,5538,5299,4998,4788,4568,4567,4445,4339,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,331002,312286,293526,281921,266466,249859,234672,220854,207536,193921,180846,168561,156180,149576,146179,139561,134909,130241,123472,116877,109791,112599,109452,105864,101513,98003,94599,91491,88662,85457,82274,79287,76414,74007,70826,68312,65832,63137,60728,58283,56161,54087,52156,50428,49400,47700,45800,43900,41200,40100,37500,35300,33100,30065,26100,24700,22800,21200,19300,18400,17900,16000,15400,14800,14300,13200,12346
  70 Years & Over,204110,190471,177931,169312,157811,146101,135321,124505,118839,115636,110321,106189,102065,96255,90829,85001,81136,78521,75202,71102,66899,69835,66647,63711,61029,58447,56022,53755,52062,50412,48859,47494,45987,44616,42521,40902,39163,37236,35715,34055,32528,30872,29013,27051,25700,24400,23000,22100,20800,20400,19000,17400,16300,13828,9800,9800,9100,8900,8200,7900,7800,6900,6900,6500,6300,5500,5584
  75 Years & Over,109261,100433,91594,88493,86577,82072,78858,75814,71060,66198,61658,58299,55930,53368,50472,47493,44952,42651,40295,37953,34844,37214,34736,32589,31338,30259,29500,28762,28214,27474,26736,25915,24974,24103,22762,21564,20254,18638,17118,15806,14714,13600,12627,11844,na,na,na,na,na,na,na,na,na,5718,na,na,na,na,na,na,na,na,na,na,na,na,2159
  80 Years & Over,54095,52230,50598,47720,44376,40784,38334,36838,34934,32445,30494,28584,26807,25154,23727,21904,20582,19472,18483,17683,16732,16721,15761,14985,14777,14552,14204,13888,13590,13178,12645,11928,11095,10204,na,na,na,na,na,na,na,na,na,4094,na,na,na,na,na,na,na,na,na,1943,na,na,na,na,na,na,na,na,na,na,na,na,744
  85 Years & Over,22444,21211,20712,19834,18299,17005,15934,14954,14002,12930,11922,11088,10249,9622,9209,8704,8270,7871,7437,7121,6714,6792,6452,6113,6067,5938,5663,5327,4981,4613,4270,3853,3463,3176,na,na,na,na,na,na,na,na,na,1259,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,236
  90 Years & Over,7264,6981,6709,6312,5815,5257,4945,4567,4274,3945,3800,3569,3360,3176,3127,2963,2732,2572,2439,2333,2146,2225,2007,1774,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Female Residents,2127351,2083027,2033728,2066654,2056827,2038445,2022251,2004033,1986062,1968329,1953247,1938159,1921081,1910588,1889144,1839667,1807605,1777652,1746675,1718235,1693490,1698649,1667344,1638696,1614877,1588202,1557653,1528113,1499500,1470171,1440324,1410691,1380397,1349577,1306352,1281880,1259676,1242077,1224150,1204596,1185694,1165385,1144604,1123114,1167200,1152200,1138000,1122000,1106500,1090100,1071600,1051300,1031700,982754,995600,977900,960200,938600,913100,890100,865700,840700,815900,786800,756400,721200,683169
  0 - 4 Years,85639,87179,87392,89688,90689,90612,91612,91482,89723,88841,89775,91749,92364,95542,97089,94742,94535,94749,96851,99211,101350,105093,107458,108949,112306,116174,117424,118773,120057,119544,120288,118945,113605,108035,104448,98636,96193,97069,97803,95561,94790,92107,90855,89146,95200,98400,103800,106800,110100,109900,109800,109300,111000,111830,126900,134900,139200,142700,144400,147500,148800,149700,148500,144800,140800,134900,128015
  5 - 9 Years,98725,98090,96780,97008,96724,97430,98565,99083,100591,101202,101118,101291,102072,105460,107752,108436,111181,113772,114903,116281,119747,122475,123291,124374,124136,124652,122799,117031,111252,108016,101393,98430,98761,98905,97058,96808,94553,93846,92386,93155,95282,99656,102142,104615,108900,109000,108800,110500,114000,120400,126600,131500,135100,133364,145200,146200,147400,145900,142500,139200,135100,129700,126200,121900,117200,111500,106067
  10 - 14 Years,100124,99313,97881,101426,102265,101504,101368,101906,104987,107837,110244,113623,117098,119031,121097,123668,123887,124734,125594,124959,125712,125190,119517,113713,110255,103466,100332,100567,100914,99524,99399,97429,97121,95822,95169,97133,101326,103554,105871,106485,106242,105821,107591,111305,119900,126200,131400,135100,137700,140500,140400,141500,141600,137842,138500,133600,129100,125700,121700,117200,113100,109300,105600,97300,85000,75600,65061
  15 - 19 Years,103118,101228,99986,105366,108667,110418,113473,116860,118615,120823,125077,126755,128159,129747,129321,128856,125716,119898,114028,110346,103738,101587,101975,102284,100823,100655,98426,97998,96777,96815,98909,103391,105668,108091,107100,106298,105582,107203,111068,116328,122279,126663,129636,131286,142100,142900,143100,143100,141900,138700,135500,130800,124900,117246,116700,112400,109000,105200,96300,85600,77100,67100,59900,59400,63100,64700,65542
  20 - 24 Years,112169,113681,115411,119920,122315,125560,127247,128808,130634,131016,132855,131831,126824,123248,120804,111917,107883,108364,108342,107061,108004,108049,107200,105987,106600,108725,113188,115634,118633,119541,118754,116588,115835,117386,117589,123544,127702,131091,133101,135120,135539,135605,135024,132310,140500,137000,132800,127200,122100,118200,114300,110600,108200,95480,85100,76700,66600,59100,59500,63200,65800,68000,69700,68400,65400,61300,58012
  25 - 29 Years,139378,140355,139489,144615,145729,147873,147771,142745,138526,136355,131602,131526,135474,141340,142286,136359,132532,131683,129568,128976,130903,136465,135993,137876,139249,138254,135749,134508,135702,137814,140794,142504,143436,143189,140447,140630,140927,141148,139609,136774,132611,127298,120980,114768,119900,116000,112500,110100,101900,90400,82200,73400,65700,61808,62700,65100,67600,68900,68000,65000,61800,59600,58100,56000,54700,53700,51950
  30 - 34 Years,167187,163885,155379,154776,153238,147622,146962,149948,152772,153333,155608,154710,155608,155639,154564,150673,152962,152220,151950,150841,149011,149605,147726,148463,150555,153056,153820,154488,153919,153650,152122,150733,149194,146190,140311,136547,131828,126312,120702,115968,111706,107722,104766,96433,92000,83400,74400,65900,66200,70200,71500,71300,69900,64884,64700,61000,59300,57200,55600,54100,54600,53000,52100,48700,46000,42700,39777
  35 - 39 Years,158457,153586,151876,158158,158700,160059,158180,158445,157272,157070,158095,161718,162064,163706,162202,157332,154573,152319,152036,153029,155680,160624,161215,160584,160102,158207,156429,154799,151939,148324,143785,138410,132175,125570,118615,114184,110227,107452,99158,87780,79505,70553,62073,62379,70300,71300,70900,69200,66600,63300,58700,57700,56500,52836,53700,53000,52900,51300,48100,45900,42600,40700,38300,38400,38100,37100,36203
  40 - 44 Years,163496,157297,152956,156490,156894,157666,160843,160979,162295,161703,159890,157610,155936,156446,157219,158367,159820,160518,159475,159076,157393,158954,157423,154780,151380,146963,141414,135151,128663,123426,118404,113914,110538,101611,88766,80591,71483,62862,63188,66554,67184,66905,64931,61956,61900,57500,56300,55400,53700,51900,51200,50400,49400,45751,44700,42400,39900,38500,38300,37200,37000,36600,36900,35800,34800,34100,33176
  45 - 49 Years,157218,156958,153923,160050,160045,158027,155362,153666,153806,155339,158024,159803,160989,160222,159592,157229,155959,154612,152203,149062,144960,142011,136033,129756,124644,119723,115228,111862,103009,90865,82292,72772,63651,63647,66381,66687,66280,63899,60320,57754,54142,52981,52544,50845,50600,50000,49200,47700,45700,43000,41100,39400,38500,36777,37100,36700,36300,36200,34900,34500,33900,33500,32800,32500,31800,30000,28943
